rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure
0.6341463414634146,0.2736842105263158,0.3823529411764706,0.18032786885245902,0.07746478873239436,0.1083743842364532,0.3089430894308943,0.13333333333333333,0.1862745098039216
0.6446280991735537,0.291044776119403,0.40102827763496146,0.20833333333333334,0.09363295880149813,0.12919896640826872,0.2975206611570248,0.13432835820895522,0.18508997429305912
0.47804878048780486,0.3181818181818182,0.38206627680311894,0.12745098039215685,0.08469055374592833,0.10176125244618395,0.2048780487804878,0.13636363636363635,0.16374269005847955
0.5838509316770186,0.2919254658385093,0.38923395445134573,0.13125,0.06542056074766354,0.08731808731808731,0.20496894409937888,0.10248447204968944,0.13664596273291926
0.6048387096774194,0.32751091703056767,0.42492917847025496,0.17886178861788618,0.09649122807017543,0.12535612535612536,0.2661290322580645,0.14410480349344978,0.1869688385269122
0.3819444444444444,0.49107142857142855,0.42968749999999994,0.14685314685314685,0.1891891891891892,0.16535433070866143,0.2569444444444444,0.33035714285714285,0.2890625
0.47540983606557374,0.232,0.31182795698924737,0.11570247933884298,0.05622489959839357,0.07567567567567568,0.23770491803278687,0.116,0.15591397849462368
0.5680473372781065,0.37209302325581395,0.4496487119437939,0.13690476190476192,0.08949416342412451,0.10823529411764705,0.2485207100591716,0.16279069767441862,0.19672131147540986
0.44755244755244755,0.3033175355450237,0.36158192090395486,0.11267605633802817,0.0761904761904762,0.09090909090909091,0.21678321678321677,0.14691943127962084,0.1751412429378531
0.532258064516129,0.3350253807106599,0.4112149532710281,0.14634146341463414,0.09183673469387756,0.1128526645768025,0.25806451612903225,0.16243654822335024,0.19937694704049844
0.46296296296296297,0.487012987012987,0.4746835443037975,0.15527950310559005,0.16339869281045752,0.1592356687898089,0.22839506172839505,0.24025974025974026,0.23417721518987342
0.47183098591549294,0.25769230769230766,0.33333333333333326,0.10638297872340426,0.05791505791505792,0.075,0.19718309859154928,0.1076923076923077,0.13930348258706465
0.5514705882352942,0.31512605042016806,0.40106951871657753,0.14814814814814814,0.08438818565400844,0.1075268817204301,0.21323529411764705,0.12184873949579832,0.15508021390374332
0.4117647058823529,0.22580645161290322,0.29166666666666663,0.0891089108910891,0.04864864864864865,0.06293706293706293,0.22549019607843138,0.12365591397849462,0.15972222222222224
0.47107438016528924,0.29081632653061223,0.3596214511041009,0.11666666666666667,0.07179487179487179,0.08888888888888888,0.2066115702479339,0.12755102040816327,0.15772870662460567
0.7403846153846154,0.2627986348122867,0.3879093198992443,0.22330097087378642,0.07876712328767123,0.11645569620253166,0.28846153846153844,0.10238907849829351,0.15113350125944586
0.6058394160583942,0.31679389312977096,0.4160401002506266,0.22058823529411764,0.11494252873563218,0.15113350125944586,0.30656934306569344,0.16030534351145037,0.2105263157894737
