rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure,rougeS_precision,rougeS_recall,rougeS_fmeasure
0.6708860759493671,0.18596491228070175,0.2912087912087912,0.24358974358974358,0.06690140845070422,0.10497237569060772,0.3670886075949367,0.10175438596491228,0.15934065934065933,0.09271523178807947,0.025408348457350273,0.039886039886039885
0.575,0.2574626865671642,0.3556701030927835,0.19327731092436976,0.08614232209737828,0.11917098445595854,0.25,0.11194029850746269,0.15463917525773196,0.1072961373390558,0.04798464491362764,0.0663129973474801
0.3783783783783784,0.09090909090909091,0.14659685863874344,0.0821917808219178,0.019543973941368076,0.031578947368421054,0.24324324324324326,0.05844155844155844,0.09424083769633507,0.0425531914893617,0.010084033613445379,0.016304347826086956
0.5471698113207547,0.18012422360248448,0.2710280373831776,0.12380952380952381,0.040498442367601244,0.06103286384976525,0.24528301886792453,0.08074534161490683,0.12149532710280375,0.08780487804878048,0.0288,0.043373493975903614
0.654320987654321,0.2314410480349345,0.3419354838709677,0.2125,0.07456140350877193,0.11038961038961038,0.2962962962962963,0.10480349344978165,0.15483870967741933,0.07547169811320754,0.02733485193621868,0.04013377926421405
0.3333333333333333,0.20535714285714285,0.25414364640883974,0.10294117647058823,0.06306306306306306,0.07821229050279328,0.2318840579710145,0.14285714285714285,0.17679558011049723,0.046511627906976744,0.027649769585253458,0.034682080924855495
0.4036697247706422,0.176,0.24512534818941506,0.07407407407407407,0.0321285140562249,0.04481792717086834,0.21100917431192662,0.092,0.12813370473537603,0.04265402843601896,0.018789144050104383,0.026086956521739132
0.5930232558139535,0.19767441860465115,0.2965116279069767,0.11764705882352941,0.038910505836575876,0.058479532163742694,0.26744186046511625,0.08914728682170543,0.13372093023255813,0.05660377358490566,0.018255578093306288,0.027607361963190184
0.43333333333333335,0.1848341232227488,0.2591362126245847,0.07865168539325842,0.03333333333333333,0.046822742474916385,0.2222222222222222,0.0947867298578199,0.132890365448505,0.03508771929824561,0.014598540145985401,0.02061855670103093
0.6483516483516484,0.29949238578680204,0.40972222222222227,0.2,0.09183673469387756,0.1258741258741259,0.31868131868131866,0.14720812182741116,0.2013888888888889,0.08092485549132948,0.03674540682414698,0.05054151624548736
0.40350877192982454,0.2987012987012987,0.34328358208955223,0.10619469026548672,0.0784313725490196,0.09022556390977443,0.21052631578947367,0.15584415584415584,0.17910447761194032,0.041474654377880185,0.030927835051546393,0.03543307086614173
0.5057471264367817,0.16923076923076924,0.25360230547550433,0.06976744186046512,0.023166023166023165,0.034782608695652174,0.27586206896551724,0.09230769230769231,0.13832853025936598,0.05917159763313609,0.020366598778004074,0.030303030303030304
0.5822784810126582,0.19327731092436976,0.2902208201892745,0.23076923076923078,0.0759493670886076,0.11428571428571428,0.3037974683544304,0.10084033613445378,0.15141955835962145,0.1456953642384106,0.047109207708779445,0.07119741100323625
0.5584415584415584,0.23118279569892472,0.32699619771863114,0.21052631578947367,0.08648648648648649,0.12260536398467434,0.2857142857142857,0.11827956989247312,0.1673003802281369,0.09395973154362416,0.038781163434903045,0.05490196078431373
0.35877862595419846,0.23979591836734693,0.28746177370030584,0.06153846153846154,0.041025641025641026,0.04923076923076924,0.1984732824427481,0.1326530612244898,0.15902140672782875,0.01606425702811245,0.010443864229765013,0.012658227848101266
0.7307692307692307,0.1945392491467577,0.30727762803234504,0.2077922077922078,0.0547945205479452,0.08672086720867209,0.38461538461538464,0.10238907849829351,0.16172506738544473,0.1342281879194631,0.035398230088495575,0.056022408963585436
0.5813953488372093,0.19083969465648856,0.2873563218390805,0.16470588235294117,0.05363984674329502,0.08092485549132947,0.27906976744186046,0.0916030534351145,0.13793103448275862,0.03773584905660377,0.012121212121212121,0.018348623853211007
0.524390243902439,0.1829787234042553,0.2712933753943218,0.09876543209876543,0.03418803418803419,0.0507936507936508,0.23170731707317074,0.08085106382978724,0.11987381703470033,0.06918238993710692,0.024830699774266364,0.03654485049833887
0.4791666666666667,0.22549019607843138,0.30666666666666664,0.17894736842105263,0.08374384236453201,0.11409395973154361,0.3020833333333333,0.14215686274509803,0.1933333333333333,0.0782122905027933,0.03636363636363636,0.04964539007092198
0.5,0.16733067729083664,0.2507462686567164,0.18072289156626506,0.06,0.09009009009009009,0.2619047619047619,0.08764940239043825,0.13134328358208955,0.06289308176100629,0.02079002079002079,0.03125
